Supported depth stream profiles:
Resolution: 1280x720, Format: format.z16, FPS: 30
Resolution: 1280x720, Format: format.z16, FPS: 15
Resolution: 1280x720, Format: format.z16, FPS: 6
Resolution: 848x480, Format: format.z16, FPS: 90
Resolution: 848x480, Format: format.z16, FPS: 60
Resolution: 848x480, Format: format.z16, FPS: 30
Resolution: 848x480, Format: format.z16, FPS: 15
Resolution: 848x480, Format: format.z16, FPS: 6
Resolution: 848x100, Format: format.z16, FPS: 100
Resolution: 640x480, Format: format.z16, FPS: 90
Resolution: 640x480, Format: format.z16, FPS: 60
Resolution: 640x480, Format: format.z16, FPS: 30
Resolution: 640x480, Format: format.z16, FPS: 15
Resolution: 640x480, Format: format.z16, FPS: 6
Resolution: 640x360, Format: format.z16, FPS: 90
Resolution: 640x360, Format: format.z16, FPS: 60
Resolution: 640x360, Format: format.z16, FPS: 30
Resolution: 640x360, Format: format.z16, FPS: 15
Resolution: 640x360, Format: format.z16, FPS: 6
Resolution: 480x270, Format: format.z16, FPS: 90
Resolution: 480x270, Format: format.z16, FPS: 60
Resolution: 480x270, Format: format.z16, FPS: 30
Resolution: 480x270, Format: format.z16, FPS: 15
Resolution: 480x270, Format: format.z16, FPS: 6
Resolution: 424x240, Format: format.z16, FPS: 90
Resolution: 424x240, Format: format.z16, FPS: 60
Resolution: 424x240, Format: format.z16, FPS: 30
Resolution: 424x240, Format: format.z16, FPS: 15
Resolution: 424x240, Format: format.z16, FPS: 6
Resolution: 256x144, Format: format.z16, FPS: 90
